Gene,Accession,Description,Log2FC,P_value,FDR,Cohens_d
RASGRP2,Q7LDG7,RAS guanyl-releasing protein 2 OS=Homo sapiens OX=9606 GN=RASGRP2 PE=1 SV=1,-0.595951886847029,9.155096923089503e-06,0.00042894321760239936,-1.256013065229531
RALA,P11233,Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1,0.6405674049043881,0.0016561171627168562,0.036471059687013224,0.8520928185712064
IGLV3-21,P80748,Immunoglobulin lambda variable 3-21 OS=Homo sapiens OX=9606 GN=IGLV3-21 PE=1 SV=2,1.1855792824595355,0.002358383455508337,0.04638154129166396,0.8212995975926198
ITGA1,P56199,Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2,1.3881482008871835,8.345120343922191e-05,0.0030915759785739654,1.092755035790015
MYO9A,B2RTY4,Unconventional myosin-IXa OS=Homo sapiens OX=9606 GN=MYO9A PE=1 SV=2,-0.7481476438805998,2.5426805515754617e-05,0.0011251361440721417,-1.181664445967178
NAA10,P41227,N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1,1.219851592209725,0.00040968333147726435,0.01087709245072137,0.9683471492085853
MTARC2,Q969Z3,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens OX=9606 GN=MTARC2 PE=1 SV=1,2.284906948716282,3.63344888059293e-05,0.0015231800175748785,1.1552592620856483
FGD6,Q6ZV73,"FYVE, RhoGEF and PH domain-containing protein 6 OS=Homo sapiens OX=9606 GN=FGD6 PE=1 SV=2",-1.6778034580434742,0.001694198629528549,0.036471059687013224,-0.850131326127672
HMOX1,P09601,Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1,0.8092777742341575,2.1834270248466201e-10,1.83063118451614e-08,1.9806582786322944
LINS1,Q8NG48,Protein Lines homolog 1 OS=Homo sapiens OX=9606 GN=LINS1 PE=1 SV=2,1.0600280698993352,0.0001995048245306956,0.006261882162577027,1.025492867339503
MICU3,Q86XE3,"Calcium uptake protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=MICU3 PE=1 SV=1",1.1865101437586034,0.0016924105493136329,0.036471059687013224,0.8502224909188848
KRT13,K7EMD9,Keratin 13 (Fragment) OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=1,-2.466826748023628,9.44720412548677e-15,1.5049396171900426e-12,-2.6652627796794626
UBC,F5H2Z3,Ubiquitin C (Fragment) OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=1,-1.0222491000311464,0.00020047457017666567,0.006261882162577027,-1.0251129893115778
KRT86,O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1",1.40632800381999,0.00011340063340851527,0.003927113239560105,1.0693099633003613
PCSK9,A0AA34QVH0,Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens OX=9606 GN=PCSK9 PE=1 SV=1,-1.7944538405184574,6.067258587468047e-07,3.86605717193464e-05,-1.4469454466058669
FUBP1,Q96AE4,Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3,-0.5996773097495449,6.73195231022923e-09,5.362000015097581e-07,-1.7518203284017495
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF OS=Homo sapiens OX=9606 GN=RHOF PE=1 SV=1,2.541806471191485,2.4084929933823675e-19,6.394548897430186e-17,3.4484992538342034
NMT1,P30419,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2,0.647279065762806,0.00017506288079485618,0.005691329981759304,1.0357066269714366
IGKV2-30,P06310,Immunoglobulin kappa variable 2-30 OS=Homo sapiens OX=9606 GN=IGKV2-30 PE=1 SV=2,1.0249220204102585,0.0002947769649487388,0.008859994437044168,0.9946888243575815
YWHAH,Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,0.8634495164560292,1.4995815441778701e-06,8.531547856697669e-05,1.3841517420271223
PSME1,Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,-1.1593809125122796,6.953430374880184e-11,6.515773286578901e-09,-2.0571017336419746
ARG1,P05089,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2,-4.312305129760929,1.1000952247559103e-14,1.59313790276015e-12,-2.654559539115681
S100A14,Q9HCY8,Protein S100-A14 OS=Homo sapiens OX=9606 GN=S100A14 PE=1 SV=1,-1.9517673054338864,2.0564136711834942e-21,8.189667445488265e-19,-3.832823151514195
LANCL1,O43813,Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1,-1.6491151382768727,3.168910657637459e-06,0.00015775233367551475,-1.3316278492127425
ECM1,Q16610,Extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=ECM1 PE=1 SV=2,0.5800814242022518,0.0023575990601513645,0.04638154129166396,0.8213288787385402
PARP1,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,-1.9749482908901896,2.126878850766449e-08,1.6133895282242634e-06,-1.6746979728066245
STK39,Q9UEW8,STE20/SPS1-related proline-alanine-rich protein kinase OS=Homo sapiens OX=9606 GN=STK39 PE=1 SV=3,2.1749183803639767,0.00017266525338439535,0.005691329981759304,1.0367815841045556
CST3,P01034,Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1,0.6014868964299325,0.002119890845663514,0.043777206168753836,0.8306538814333634
CRABP2,P29373,Cellular retinoic acid-binding protein 2 OS=Homo sapiens OX=9606 GN=CRABP2 PE=1 SV=2,2.1289753730246446,3.593668214004542e-12,4.403625742237873e-10,2.2562133057450384
TRIM25,Q14258,E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2,0.766914009132087,0.0014627230354045527,0.03281856049858384,0.8627629625488071
GUCY1A2,P33402,Guanylate cyclase soluble subunit alpha-2 OS=Homo sapiens OX=9606 GN=GUCY1A2 PE=1 SV=1,-1.6412268578726348,6.048567008424869e-05,0.0024088418111052044,-1.1171253531037806
NUCKS1,Q9H1E3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,-4.505654009396572,5.090859496470918e-25,2.7032463926260574e-22,-4.562588413081802
SIGLEC16,A6NMB1,Sialic acid-binding Ig-like lectin 16 OS=Homo sapiens OX=9606 GN=SIGLEC16 PE=2 SV=3,0.5593569281126705,0.0014332088517139336,0.032655716584330516,0.8645075411344754
LCN2,X6R8F3,Lipocalin 2 OS=Homo sapiens OX=9606 GN=LCN2 PE=1 SV=1,-1.1610563400275726,0.0017715647425857262,0.037628035132520825,-0.8462712907388287
SIPA1L2,A0A6Q8PFQ0,Signal induced proliferation associated 1 like 2 OS=Homo sapiens OX=9606 GN=SIPA1L2 PE=1 SV=1,1.5461479878371698,4.627152209019101e-12,5.265038192119591e-10,2.2391334461581827
MGAM,O43451,Maltase-glucoamylase OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=6,-2.7743897237604465,9.202093446235592e-14,1.2215779049877749e-11,-2.506579219338965
PI3,P19957,Elafin OS=Homo sapiens OX=9606 GN=PI3 PE=1 SV=3,2.0760680337957744,0.0025852571953711924,0.048450761320309524,0.8131919902992244
EIF2AK2,P19525,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2",2.6863686803574396,1.4909749667781098e-15,2.6390256911972543e-13,2.7961549714783582
SNRPF,P62306,Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1,-1.1892070927097507,0.001012646638833446,0.02520540774471374,-0.8939469895185076
DOCK10,A0A2R8YD85,Dedicator of cytokinesis 10 OS=Homo sapiens OX=9606 GN=DOCK10 PE=1 SV=1,2.5534145303380313,8.171533584182757e-12,8.678168666402088e-10,2.2007763780041327
MKI67,P46013,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,1.5991827273135009,0.0003305145302967717,0.00940195797790638,0.9855710807584438
HLA-DRB5,Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain OS=Homo sapiens OX=9606 GN=HLA-DRB5 PE=1 SV=1",1.637451377169839,1.2864184617187839e-05,0.0005855041741480065,1.2314417416547063
PREX1,Q8TCU6,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Homo sapiens OX=9606 GN=PREX1 PE=1 SV=3",3.4678134728808896,8.659057098963958e-07,5.108843688388735e-05,1.4223476495667475
HARBI1,Q96MB7,Putative nuclease HARBI1 OS=Homo sapiens OX=9606 GN=HARBI1 PE=1 SV=1,-1.7636660479552582,0.0004078166724522637,0.01087709245072137,-0.968715043782814
KPNA4,O00629,Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,3.2916013806243143,2.118801311687893e-10,1.83063118451614e-08,1.982663640535069
TXLNA,P40222,Alpha-taxilin OS=Homo sapiens OX=9606 GN=TXLNA PE=1 SV=3,-2.743156976897044,1.92353250203071e-11,1.9151170473343255e-09,-2.1432064410126865
TOMM20L,Q6UXN7,TOMM20-like protein 1 OS=Homo sapiens OX=9606 GN=TOMM20L PE=1 SV=1,-1.9865332285327177,5.016429458735792e-08,3.6323509671664164e-06,-1.6169076065140995
CRCP,O75575,DNA-directed RNA polymerase III subunit RPC9 OS=Homo sapiens OX=9606 GN=CRCP PE=1 SV=1,-1.2456658206304887,0.0010943306527355248,0.026819518920118322,-0.8874181892927187
VPS13B,Q7Z7G8,Intermembrane lipid transfer protein VPS13B OS=Homo sapiens OX=9606 GN=VPS13B PE=1 SV=2,-1.7135066808377495,8.399975984679243e-06,0.0004054897498058798,-1.2622045046734924
AP3M1,Q9Y2T2,AP-3 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP3M1 PE=1 SV=1,1.1537101821977878,1.521579308281691e-07,1.053859060040319e-05,1.541703603679946
SAMD9,Q5K651,Sterile alpha motif domain-containing protein 9 OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1,2.628839796821815,6.846053008038028e-19,1.5579660631149398e-16,3.367129368950818
STX12,B1AJQ6,Syntaxin 12 (Fragment) OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=2,3.049591412564407,1.1382276783460988e-20,3.626393383210671e-18,3.6921424171333665
ALDH3A2,J3KTD9,aldehyde dehydrogenase (NAD(+)) (Fragment) OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=2,-1.3106458328219084,2.8532280120484087e-05,0.001228430330592734,-1.1731665088324417
TRMT11,Q7Z4G4,tRNA (guanine(10)-N(2))-methyltransferase homolog OS=Homo sapiens OX=9606 GN=TRMT11 PE=1 SV=1,-3.8902189847214643,6.740381325701982e-38,1.0737427451843256e-34,-8.039348514315249
CDK14,O94921,Cyclin-dependent kinase 14 OS=Homo sapiens OX=9606 GN=CDK14 PE=1 SV=3,0.7219013543449435,0.00032642500628633824,0.00940195797790638,0.9865651248437508
